metric,value,unit,note
Overall heart disease prevalence,9.42,%,Respondents reporting coronary heart disease or myocardial infarction
Total respondents,253680.0,count,BRFSS 2015 survey
Cases identified,23893.0,count,
Relative risk — Skipped doctor (cost),1.36,x,12.4% with vs 9.1% without
Relative risk — Obese (BMI 30+),1.39,x,11.5% with vs 8.3% without
Relative risk — Physically inactive,1.75,x,13.9% with vs 8.0% without
Relative risk — Smoker,2.05,x,13.2% with vs 6.4% without
Relative risk — Diabetes,3.04,x,22.3% with vs 7.3% without
Relative risk — High cholesterol,3.19,x,15.6% with vs 4.9% without
Relative risk — Difficulty walking,3.51,x,23.2% with vs 6.6% without
Relative risk — High blood pressure,4.0,x,16.5% with vs 4.1% without
Relative risk — Stroke history,4.67,x,38.3% with vs 8.2% without
Prevalence at 0 risk factors,1.17,%,
Prevalence at 6 risk factors,42.04,%,
Dose-response gradient,35.8,x,Ratio of highest to lowest risk-factor burden
Income gradient,3.12,x,15.8% in lowest bracket vs 5.1% in highest
Self-rated health gradient,15.2,x,34.0% (Poor) vs 2.2% (Excellent)
Male vs female prevalence,1.7,x,12.3% male vs 7.2% female
Prevalence — insured but cost-deterred,13.24,%,mean age 52.5
Prevalence — no coverage,7.01,%,mean age 47.9
Prevalence — no access barrier,9.27,%,mean age 58.2
